#accession,value
IS13,0
IS35,0
IS303,0
IS602,0
IS929,0
IS1127,0
IS1398,0
IS2156,1
IS2179,0
IS2221,0
IS2262,0
IS2263,0
IS2367,0
IS2398,0
IS2416,0
IS2430,0
IS2678,1
IS2730,1
IS2787,0
IS2807,0
IS2814,0
IS2834,0
IS2848,0
IS2873,0
IS2902,1
IS3073,0
IS3121,1
IS3147,0
IS3421,1
IS3443,0
IS3450,1
IS3507,0
IS3511,0
IS3583,0
IS3672,0
IS3675,0
IS3685,1
IS3780,0
IS3885,0
IS3905,1
IS3957,1
IS3971,0
IS4027,0
IS4035,0
IS4112,0
IS4285,1
IS4726,0
IS4776,0
IS4821,1
IS4963,0
IS5106,1
IS5622,0
IS5720,0
IS5867,0
IS5910,1
IS5972,0
IS6118,0
IS6154,0
IS6193,0
IS6351,1
IS6413,1
IS6718,1
IS6745,1
IS6828,1
IS6973,0
IS7125,0
IS7277,1
IS7314,1
IS7722,1
IS7861,1
IS7889,1
IS8218,0
IS8283,0
IS8347,0
IS8348,0
IS8685,1
IS8882,1
IS9168,0
IS9303,0
IS9468,0
IS9527,0
IS9586,1
IS9597,1
IS9713,0
IS9830,0
IS9883,0
IS9911,0
IS10234,0
IS10801,0
IS10876,0
IS10882,1
IS10897,1
IS10971,0
IS10978,0
IS11026,1
IS11119,1
IS11374,1
IS11758,0
IS11827,1
IS12110,1
IS12169,1
IS12447,0
IS12531,1
IS12804,0
IS12931,1
IS13113,0
IS13452,0
IS13791,0
IS13827,1
IS13845,0
IS13848,0
IS13926,0
IS13989,0
IS14206,0
IS14216,1
IS14259,0
IS14276,0
IS14298,0
IS14317,0
IS14331,0
IS14351,1
IS14414,1
IS14446,1
IS14449,0
IS14478,1
IS14535,0
IS14556,0
IS14571,0
IS14735,1
IS14830,1
IS14963,0
IS15428,0
IS15443,0
IS15466,1
IS15478,1
IS15526,0
IS15752,0
IS16044,0
IS16125,1
IS16173,0
IS16186,1
IS16396,1
IS16545,0
IS17593,1
IS18551,0
IS18698,0
IS18800,0
IS18813,0
IS18821,0
IS18829,1
IS18835,1
IS18868,0
IS18874,0
IS18876,1
IS18879,0
IS18919,0
IS18922,1
IS19016,0
IS19026,0
IS19041,0
IS19053,0
IS19132,1
IS19418,1
IS19453,0
IS19455,0
IS19466,0
IS19685,1
IS19847,1
IS19953,0
IS20016,1
IS20064,1
IS20097,1
IS20205,0
IS20351,0
IS20387,0
IS20665,0
IS20681,0
IS20697,0
IS20700,0
IS20709,0
IS20710,0
IS20713,0
IS20724,0
IS20727,0
IS20743,0
IS20749,0
IS20762,0
IS20763,1
IS20782,0
IS20792,1
IS20842,1
IS21124,1
IS21126,0
IS21401,0
IS21425,0
IS21519,1
IS21622,1
IS21691,1
IS21849,0
IS21854,1
IS21891,0
IS21991,1
IS22040,0
IS22074,0
IS22239,0
IS22282,0
IS22287,0
IS22291,0
IS22294,0
IS22325,0
IS22330,0
IS22332,0
IS22334,0
IS22506,0
IS22609,1
IS22632,0
IS22909,0
IS22986,1
IS22996,0
IS23048,1
IS23053,1
IS23100,1
IS23142,1
IS23166,1
IS23178,1
IS23254,1
IS23574,1
IS23601,0
IS23645,1
IS23666,0
IS23669,1
IS23777,1
IS23903,0
IS23948,0
IS23988,0
IS23992,0
IS24009,0
IS24072,1
IS24083,0
IS24139,1
IS24481,0
IS24503,0
IS24713,1
IS24786,1
IS24887,1
IS24913,1
IS24939,1
IS24940,1
IS24953,1
IS25055,1
IS25077,1
IS25207,1
IS25301,1
IS25442,0
IS25596,1
IS25702,0
IS25733,1
IS25836,1
IS25910,1
IS26041,1
IS26110,1
IS26457,1
IS26554,1
IS26731,0
IS26788,0
IS26815,1
IS26833,1
IS27146,0
IS27164,0
IS27390,1
IS27490,1
IS27587,1
IS27599,0
IS27791,0
IS27855,0
IS27891,0
IS28332,0
IS28389,0
IS28409,0
IS28645,0
IS28740,0
IS28849,0
IS28991,1
IS29233,0
IS29310,0
IS29375,0
IS29407,0
IS29409,0
IS29472,0
IS29496,0
IS29569,0
IS29606,0
IS29638,0
IS29691,1
IS29870,0
IS29872,0
IS29876,0
IS29911,0
IS29966,0
IS30175,0
IS30207,0
IS30317,0
IS30352,0
IS30385,0
IS30400,0
IS30405,0
IS30417,0
IS30436,0
IS30441,0
IS30443,0
IS30451,0
IS30503,0
IS30538,0
IS30619,0
IS30748,1
IS30898,0
IS31123,1
IS31179,1
IS31195,1
IS31202,1
IS31299,1
IS31533,1
IS31559,1
IS31681,0
IS31693,0
IS31852,0
IS31861,0
IS32050,0
IS32087,0
IS32092,0
IS32234,0
IS32454,1
IS32569,0
IS32986,1
IS33173,1
IS33178,1
IS33209,0
IS33261,1
IS33353,1
IS33423,1
IS36633,0
IS41724,0
SSM1046,1
SSM1049,0
SSM1057,0
SSM1102,0
SSM1123,0
SSM12,1
SSM1267,0
SSM1284,1
SSM1370,0
SSM1592,1
SSM19,1
SSM205,1
SSM215,0
SSM249,1
SSM275,0
SSM276,0
SSM29,1
SSM379,0
SSM501,1
SSM505,0
SSM547,1
